id;name;permission;authority_name
1;USER;ACCESS;ROLE_ADMIN
2;USER;DELETE;ROLE_ADMIN
3;USER;EDIT;ROLE_ADMIN
4;USER;EXPORT;ROLE_ADMIN
5;USER;IMPORT;ROLE_ADMIN
6;USER;LIST;ROLE_ADMIN
7;USER;MASSUPDATE;ROLE_ADMIN
8;USER;VIEW;ROLE_ADMIN
9;AUTHORITY;ACCESS;ROLE_ADMIN
10;AUTHORITY;DELETE;ROLE_ADMIN
11;AUTHORITY;EDIT;ROLE_ADMIN
12;AUTHORITY;EXPORT;ROLE_ADMIN
13;AUTHORITY;IMPORT;ROLE_ADMIN
14;AUTHORITY;LIST;ROLE_ADMIN
15;AUTHORITY;MASSUPDATE;ROLE_ADMIN
16;AUTHORITY;VIEW;ROLE_ADMIN
17;RESOURCE;ACCESS;ROLE_ADMIN
18;RESOURCE;DELETE;ROLE_ADMIN
19;RESOURCE;EDIT;ROLE_ADMIN
20;RESOURCE;EXPORT;ROLE_ADMIN
21;RESOURCE;IMPORT;ROLE_ADMIN
22;RESOURCE;LIST;ROLE_ADMIN
23;RESOURCE;MASSUPDATE;ROLE_ADMIN
24;RESOURCE;VIEW;ROLE_ADMIN
25;EMPLOYEE;ACCESS;ROLE_ADMIN
26;EMPLOYEE;DELETE;ROLE_ADMIN
27;EMPLOYEE;EDIT;ROLE_ADMIN
28;EMPLOYEE;EXPORT;ROLE_ADMIN
29;EMPLOYEE;IMPORT;ROLE_ADMIN
30;EMPLOYEE;LIST;ROLE_ADMIN
31;EMPLOYEE;MASSUPDATE;ROLE_ADMIN
32;EMPLOYEE;VIEW;ROLE_ADMIN
33;CATEGORY;ACCESS;ROLE_ADMIN
34;CATEGORY;DELETE;ROLE_ADMIN
35;CATEGORY;EDIT;ROLE_ADMIN
36;CATEGORY;EXPORT;ROLE_ADMIN
37;CATEGORY;IMPORT;ROLE_ADMIN
38;CATEGORY;LIST;ROLE_ADMIN
39;CATEGORY;MASSUPDATE;ROLE_ADMIN
40;CATEGORY;VIEW;ROLE_ADMIN
41;STATIC_PAGE;ACCESS;ROLE_ADMIN
42;STATIC_PAGE;DELETE;ROLE_ADMIN
43;STATIC_PAGE;EDIT;ROLE_ADMIN
44;STATIC_PAGE;EXPORT;ROLE_ADMIN
45;STATIC_PAGE;IMPORT;ROLE_ADMIN
46;STATIC_PAGE;LIST;ROLE_ADMIN
47;STATIC_PAGE;MASSUPDATE;ROLE_ADMIN
48;STATIC_PAGE;VIEW;ROLE_ADMIN
49;POST;ACCESS;ROLE_ADMIN
50;POST;DELETE;ROLE_ADMIN
51;POST;EDIT;ROLE_ADMIN
52;POST;EXPORT;ROLE_ADMIN
53;POST;IMPORT;ROLE_ADMIN
54;POST;LIST;ROLE_ADMIN
55;POST;MASSUPDATE;ROLE_ADMIN
56;POST;VIEW;ROLE_ADMIN
